Date,Category,Amount,Description
2024-01-01,Food,45.50,Grocery shopping
2024-01-02,Transport,12.00,Bus fare
2024-01-03,Entertainment,25.00,Movie ticket
2024-01-04,Food,8.50,Coffee
2024-01-05,Bills,150.00,Electricity
2024-01-06,Food,32.00,Restaurant
2024-01-07,Transport,15.00,Uber
2024-01-08,Shopping,75.00,Clothes
2024-01-09,Food,12.00,Lunch
2024-01-10,Entertainment,40.00,Concert
2024-01-11,Food,55.00,Groceries
2024-01-12,Transport,10.00,Metro
2024-01-13,Bills,80.00,Internet
2024-01-14,Food,18.00,Dinner
2024-01-15,Shopping,120.00,Electronics
2024-01-16,Food,9.00,Breakfast
2024-01-17,Transport,14.00,Taxi
2024-01-18,Entertainment,30.00,Gaming
2024-01-19,Food,42.00,Groceries
2024-01-20,Bills,200.00,Rent
